#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 20:01:19,297000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 20:01:21,497000,-1000.000
12/21/2023 20:01:21,498000,-1000.000
12/21/2023 20:01:21,499000,-1000.000
12/21/2023 20:01:21,500000,-1000.000
12/21/2023 20:01:21,501000,-1000.000
12/21/2023 20:01:21,502000,-1000.000
12/21/2023 20:01:21,503000,-1000.000
12/21/2023 20:01:21,504000,-1000.000
12/21/2023 20:01:21,505000,-1000.000
12/21/2023 20:01:21,506000,-1000.000
12/21/2023 20:01:21,507000,-1000.000
12/21/2023 20:01:21,508000,-1000.000
12/21/2023 20:01:21,509000,-1000.000
12/21/2023 20:01:21,510000,-1000.000
12/21/2023 20:01:21,511000,-1000.000
12/21/2023 20:01:21,512000,-1000.000
12/21/2023 20:01:21,513000,-1000.000
12/21/2023 20:01:21,514000,-1000.000
12/21/2023 20:01:21,515000,-1000.000
12/21/2023 20:01:21,516000,-1000.000
12/21/2023 20:01:21,517000,-1000.000
12/21/2023 20:01:21,518000,-1000.000
12/21/2023 20:01:21,519000,-1000.000
12/21/2023 20:01:21,520000,-1000.000
12/21/2023 20:01:21,521000,-1000.000
12/21/2023 20:01:21,522000,-1000.000
12/21/2023 20:01:21,523000,-1000.000
12/21/2023 20:01:21,524000,-1000.000
12/21/2023 20:01:21,525000,-1000.000
12/21/2023 20:01:21,526000,-1000.000
12/21/2023 20:01:21,527000,-1000.000
12/21/2023 20:01:21,528000,-1000.000
12/21/2023 20:01:21,529000,-1000.000
12/21/2023 20:01:21,530000,-1000.000
12/21/2023 20:01:21,531000,-1000.000
12/21/2023 20:01:21,532000,-1000.000
12/21/2023 20:01:21,533000,-1000.000
12/21/2023 20:01:21,534000,-1000.000
12/21/2023 20:01:21,535000,-1000.000
12/21/2023 20:01:21,536000,-1000.000
12/21/2023 20:01:21,537000,-1000.000
12/21/2023 20:01:21,538000,-1000.000
12/21/2023 20:01:21,539000,-1000.000
12/21/2023 20:01:21,540000,-1000.000
12/21/2023 20:01:21,541000,-1000.000
