#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 19:52:55,127000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 19:52:59,127000,-1000.000
12/21/2023 19:52:59,128000,-1000.000
12/21/2023 19:52:59,129000,-1000.000
12/21/2023 19:52:59,130000,-1000.000
12/21/2023 19:52:59,131000,-1000.000
12/21/2023 19:52:59,132000,-1000.000
12/21/2023 19:52:59,133000,-1000.000
12/21/2023 19:52:59,134000,-1000.000
12/21/2023 19:52:59,135000,-1000.000
12/21/2023 19:52:59,136000,-1000.000
12/21/2023 19:52:59,137000,-1000.000
12/21/2023 19:52:59,138000,-1000.000
12/21/2023 19:52:59,139000,-1000.000
12/21/2023 19:52:59,140000,-1000.000
12/21/2023 19:52:59,141000,-1000.000
12/21/2023 19:52:59,142000,-1000.000
12/21/2023 19:52:59,143000,-1000.000
12/21/2023 19:52:59,144000,-1000.000
12/21/2023 19:52:59,145000,-1000.000
12/21/2023 19:52:59,146000,-1000.000
12/21/2023 19:52:59,147000,-1000.000
12/21/2023 19:52:59,148000,-1000.000
12/21/2023 19:52:59,149000,-1000.000
12/21/2023 19:52:59,150000,-1000.000
12/21/2023 19:52:59,151000,-1000.000
12/21/2023 19:52:59,152000,-1000.000
12/21/2023 19:52:59,153000,-1000.000
12/21/2023 19:52:59,154000,-1000.000
12/21/2023 19:52:59,155000,-1000.000
12/21/2023 19:52:59,156000,-1000.000
12/21/2023 19:52:59,157000,-1000.000
12/21/2023 19:52:59,158000,-1000.000
12/21/2023 19:52:59,159000,-1000.000
12/21/2023 19:52:59,160000,-1000.000
12/21/2023 19:52:59,161000,-1000.000
12/21/2023 19:52:59,162000,-1000.000
12/21/2023 19:52:59,163000,-1000.000
12/21/2023 19:52:59,164000,-1000.000
12/21/2023 19:52:59,165000,-1000.000
12/21/2023 19:52:59,166000,-1000.000
12/21/2023 19:52:59,167000,-1000.000
12/21/2023 19:52:59,168000,-1000.000
12/21/2023 19:52:59,169000,-1000.000
12/21/2023 19:52:59,170000,-1000.000
12/21/2023 19:52:59,171000,-1000.000
12/21/2023 19:52:59,172000,-1000.000
12/21/2023 19:52:59,173000,-1000.000
12/21/2023 19:52:59,174000,-1000.000
12/21/2023 19:52:59,175000,-1000.000
12/21/2023 19:52:59,176000,-1000.000
12/21/2023 19:52:59,177000,-1000.000
12/21/2023 19:52:59,178000,-1000.000
12/21/2023 19:52:59,179000,-1000.000
12/21/2023 19:52:59,180000,-1000.000
12/21/2023 19:52:59,181000,-1000.000
12/21/2023 19:52:59,182000,-1000.000
12/21/2023 19:52:59,183000,-1000.000
12/21/2023 19:52:59,184000,-1000.000
12/21/2023 19:52:59,185000,-1000.000
12/21/2023 19:52:59,186000,-1000.000
12/21/2023 19:52:59,187000,-1000.000
