#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,09/23/2023 01:11:46,608000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
Waveform Name,,"LK-G5000 series","LK-G5000 series","LK-G5000 series"
Input,,LK-G5000 series,LK-G5000 series,LK-G5000 series
Unit,,"mm","mm/s","mm/s^2"
Function,,,,
Hold,,***,***,***
Edge Trigger,,Not Used,Not Used,Not Used
Trig level,,,,
Hysteresis,,,,
Smoothing,,OFF,OFF,OFF
No. of Points,,,,
Scaling,,OFF,OFF,OFF
Acquired value 1,,,,
Acquired value 2,,,,
Displayed value 1,,,,
Displayed value 2,,,,
Coupling,,,,
SensorType,,,,
Low-pass filter,,,,
High-pass filter,,,,
Sensitive,,,,
Basic unit,,,,
Polarity,,,,
Threshold,,,,
Hysteresis,,,,
Divider,,,,

#EndHeader,Date/Time (µs),(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
09/23/2023 01:11:53,108000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,109000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,110000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,111000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,112000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,113000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,114000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,115000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,116000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,117000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,118000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,119000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,120000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,121000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,122000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,123000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,124000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,125000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,126000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,127000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,128000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,129000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,130000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,131000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,132000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,133000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,134000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,135000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,136000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,137000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,138000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,139000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,140000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,141000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,142000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,143000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,144000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,145000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,146000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,147000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,148000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,149000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,150000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,151000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,152000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,153000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,154000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,155000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,156000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,157000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,158000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,159000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,160000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,161000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,162000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,163000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,164000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,165000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,166000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,167000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,168000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,169000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,170000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,171000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,172000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,173000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,174000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,175000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,176000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,177000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,178000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,179000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,180000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,181000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,182000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,183000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,184000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,185000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,186000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,187000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,188000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,189000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,190000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,191000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,192000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,193000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,194000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,195000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,196000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,197000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,198000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,199000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,200000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,201000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,202000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,203000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,204000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,205000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,206000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,207000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,208000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,209000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,210000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,211000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,212000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,213000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,214000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,215000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,216000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,217000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,218000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,219000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,220000,-1000.000,-100000.0,-1000.000
09/23/2023 01:11:53,221000,-1000.000,-100000.0,-1000.000
