#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,09/23/2023 01:49:24,116000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
Waveform Name,,"LK-G5000 series","LK-G5000 series","LK-G5000 series"
Input,,LK-G5000 series,LK-G5000 series,LK-G5000 series
Unit,,"mm","mm/s","mm/s^2"
Function,,,,
Hold,,***,***,***
Edge Trigger,,Not Used,Not Used,Not Used
Trig level,,,,
Hysteresis,,,,
Smoothing,,OFF,OFF,OFF
No. of Points,,,,
Scaling,,OFF,OFF,OFF
Acquired value 1,,,,
Acquired value 2,,,,
Displayed value 1,,,,
Displayed value 2,,,,
Coupling,,,,
SensorType,,,,
Low-pass filter,,,,
High-pass filter,,,,
Sensitive,,,,
Basic unit,,,,
Polarity,,,,
Threshold,,,,
Hysteresis,,,,
Divider,,,,

#EndHeader,Date/Time (µs),(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
09/23/2023 01:49:26,616000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,617000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,618000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,619000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,620000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,621000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,622000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,623000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,624000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,625000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,626000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,627000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,628000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,629000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,630000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,631000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,632000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,633000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,634000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,635000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,636000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,637000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,638000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,639000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,640000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,641000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,642000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,643000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,644000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,645000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,646000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,647000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,648000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,649000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,650000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,651000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,652000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,653000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,654000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,655000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,656000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,657000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,658000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,659000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,660000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,661000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,662000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,663000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,664000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,665000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,666000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,667000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,668000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,669000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,670000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,671000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,672000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,673000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,674000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,675000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,676000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,677000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,678000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,679000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,680000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,681000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,682000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,683000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,684000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,685000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,686000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,687000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,688000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,689000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,690000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,691000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,692000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,693000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,694000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,695000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,696000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,697000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,698000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,699000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,700000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,701000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,702000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,703000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,704000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,705000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,706000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,707000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,708000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,709000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,710000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,711000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,712000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,713000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,714000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,715000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,716000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,717000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,718000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,719000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,720000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,721000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,722000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,723000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,724000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,725000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,726000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,727000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,728000,-1000.000,-100000.0,-1000.000
09/23/2023 01:49:26,729000,-1000.000,-100000.0,-1000.000
